,name,name:en,inscription,geometry
3038,Йосифу Сліпому,,Пам'ятний знак з нагоди 120-ї річниці від народження патріарха Йосифа Сліпого. Фундація „Справа Патріарха Йосифа“.,POINT (25.5910973 49.5541954)
3039,Пам'ятний знак розстріляним комсомольцям,,,POINT (30.3678463 46.1832954)
3040,"Комсомольцям та молоді, які загинули в Другій Світовій Війні",,,POINT (29.0714135 50.314948)
3041,Пам'ятник Богдану Хмельницькому,,,POINT (32.6561176 49.0793877)
3042,хрест УПА на стінці,,,POINT (24.72837 48.9964)
3043,Пам'ятник Тарасу Шевченку,,,POINT (24.6538158 48.853978)
3044,Пам’ятник академіку Богомольцю О.О.,Bogomoletz memorial,,POINT (30.5294827 50.440182)
3045,Поручику Ржевському,,,POINT (35.8347837 48.5535241)
3046,Героям загиблим за Волю,,,POINT (24.6572685 48.3685648)
3047,Могила лісника,,"Самофалов Митрофан Федотович  
объезчик леса
1893-1960",POINT (36.6137759 49.7772792)
3048,Пам'ять Чорнобильцям,,,POINT (34.539109 49.8184727)
3049,Воїнам-Інтернаціоналістам,,,POINT (34.5309023 49.8247291)
3050,Тарасу Григоровичу Шевченку,,,POINT (33.6313072 50.0969324)
3051,Пам'ятник Тараса Шевченка,,,POINT (28.4763326 49.2330048)
3052,"Односельчанам, погибшим в ВОВ",,,POINT (33.988979 44.6962046)
3053,Каплиця-колона,,,POINT (27.4123225 49.4329937)
3054,Каплиця-колона,,,POINT (27.3993651 49.4369585)
3055,Петру Тимочко,,У цьому будинку з 1989 по 2005 рр. жив і творив український письменник Петро Тимочко (1925-2005),POINT (25.5856924 49.5512028)
3056,Тарасу Шевченку,,,POINT (24.6905375 49.0197097)
3057,Борцям за волю України,,,POINT (24.6907913 49.0201243)
3058,Полеглим у Другій світовій війні,,,POINT (24.6907738 49.0190168)
3059,Могила Чучупаки В.С.,,,POINT (32.3124322 49.163097)
3060,Трактор СХТЗ 15/30,,Трактор СХТЗ 15/30,POINT (36.3714055 49.9476842)
3061,Шведським уболівальникам ЄВРО-2012,,,POINT (30.5363003 50.4583752)
3062,Воїнам-визволителям (2 світова війна),,,POINT (34.13995 49.6368244)
3063,Обеліск,,,POINT (36.2455812 47.9898972)
